raw_text,aspectTerms
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!","[{'term': 'spicy tuna roll', 'polarity': 'positive'}, {'term': 'rock shrimp tempura', 'polarity': 'positive'}]"
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,"[{'term': 'service', 'polarity': 'positive'}]"
we love th pink pony.,"[{'term': 'pink pony', 'polarity': 'positive'}]"
THe perfect spot.,"[{'term': 'spot', 'polarity': 'positive'}]"
Food-awesome.,"[{'term': 'Food', 'polarity': 'positive'}]"
Service- friendly and attentive.,"[{'term': 'Service', 'polarity': 'positive'}]"
Ambiance- relaxed and stylish.,"[{'term': 'Ambiance', 'polarity': 'positive'}]"
"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.","[{'term': 'place', 'polarity': 'positive'}]"
"i have eaten here a handful of times, for no reason besides sheer convenience.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"(i hang out, and live, in the neighborhood..) ","[{'term': 'noaspectterm', 'polarity': 'none'}]"
the food is decent.,"[{'term': 'food', 'polarity': 'neutral'}]"
"however, it's the service that leaves a bad taste in my mouth.","[{'term': 'service', 'polarity': 'negative'}]"
"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.","[{'term': 'waiter', 'polarity': 'negative'}]"
"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ","[{'term': 'noaspectterm', 'polarity': 'none'}]"
the last time i walked by it looked pretty empty. hmmm.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
This place has got to be the best japanese restaurant in the new york area.,"[{'term': 'place', 'polarity': 'positive'}]"
I had a great experience.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Food is great.,"[{'term': 'Food', 'polarity': 'positive'}]"
Service is top notch.,"[{'term': 'Service', 'polarity': 'positive'}]"
I have been going back again and again.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.","[{'term': 'sea urchin', 'polarity': 'positive'}]"
"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
The sushi seemed pretty fresh and was adequately proportioned.,"[{'term': 'sushi', 'polarity': 'positive'}]"
The rice to fish ration was also good--they didn't try to overpack the rice.,"[{'term': 'rice to fish ration', 'polarity': 'positive'}]"
We took advanatage of the half price sushi deal on saturday so it was well worth it.,"[{'term': 'half price sushi deal', 'polarity': 'positive'}]"
I went to this restaurant with a woman that I met recently.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
She lives nearby but had never gone to this establishment thinking that it might be too touristy.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Surprisingly nothing could be further from the truth.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"In the evening, this place attracted a well dressed, with it, NY crowd.","[{'term': 'crowd', 'polarity': 'positive'}]"
The food was well prepared and the service impecable.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
I'm going back.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,"[{'term': 'Prix Fixe menu', 'polarity': 'positive'}]"
I will be going back and heartily recommend it!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"It is terrific, as is the value.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"$6 and there is much tasty food, all of it fresh and continually refilled.","[{'term': 'food', 'polarity': 'positive'}]"
"I am not a vegetarian but, almost all the dishes were great.","[{'term': 'dishes', 'polarity': 'positive'}]"
"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Go hungry and enjoy.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"The food here is rather good, but only if you like to wait for it.","[{'term': 'food', 'polarity': 'positive'}]"
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.","[{'term': 'somosas', 'polarity': 'positive'}, {'term': 'chai', 'polarity': 'positive'}, {'term': 'chole', 'polarity': 'positive'}, {'term': 'dhosas', 'polarity': 'negative'}, {'term': 'dhal', 'polarity': 'negative'}]"
"The service varys from day to day- sometimes they're very nice, and sometimes not.","[{'term': 'service', 'polarity': 'negative'}]"
"The kitchen however, is almost always slow.","[{'term': 'kitchen', 'polarity': 'negative'}]"
"Also, specify if you like your food spicy- its rather bland if you don't.","[{'term': 'food', 'polarity': 'negative'}]"
"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.","[{'term': 'ambience', 'polarity': 'positive'}]"
Just went here for my girlfriends 23rd bday.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,"[{'term': 'view', 'polarity': 'positive'}]"
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"[{'term': 'service', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
The lava cake dessert was incredible and I recommend it.,"[{'term': 'lava cake dessert', 'polarity': 'positive'}]"
"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.","[{'term': 'Cosette', 'polarity': 'positive'}]"
"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.","[{'term': 'restaurant', 'polarity': 'positive'}]"
"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'French Onion soup', 'polarity': 'negative'}, {'term': 'desserts', 'polarity': 'negative'}]"
"However, go for the ambience, and consider the food just a companion for a trip across the world!","[{'term': 'ambience', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'neutral'}]"
"I have never eaten in the restaurant, however, upon reading the reviews I got take out last week.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
IT WAS HORRIBLE.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The pizza was delivered cold and the cheese wasn't even fully melted!,"[{'term': 'pizza', 'polarity': 'negative'}, {'term': 'cheese', 'polarity': 'negative'}]"
It looked like shredded cheese partly done - still in strips.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I have eaten at many pizza places around NYC and this is hands down the worst.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
This has got to be one of the most overrated restaurants in Brooklyn.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The pizza is overpriced and soggy.,"[{'term': 'pizza', 'polarity': 'negative'}]"
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","[{'term': 'ingredients', 'polarity': 'positive'}, {'term': 'pizza', 'polarity': 'negative'}, {'term': 'crust', 'polarity': 'negative'}]"
"A big disappointment, all around.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
I think I've had some the best meals of my life at minnow.,"[{'term': 'meals', 'polarity': 'positive'}]"
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.","[{'term': 'seafood', 'polarity': 'positive'}, {'term': 'wine list', 'polarity': 'positive'}, {'term': 'menu', 'polarity': 'positive'}]"
The combination of super-fresh ingredients in the dishes are unusual but really delicious.,"[{'term': 'ingredients', 'polarity': 'positive'}]"
Worth the trip from Manhattan.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Was there Friday night.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Best Pastrami I ever had and great portion without being ridiculous.,"[{'term': 'Pastrami', 'polarity': 'positive'}, {'term': 'portion', 'polarity': 'positive'}]"
And I've been to many NYC delis.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
My wife had the fried shrimp which are huge and loved it.,"[{'term': 'fried shrimp', 'polarity': 'positive'}]"
Price no more than a Jersey deli but way better.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.","[{'term': 'place', 'polarity': 'positive'}]"
This place is the most Japanese it can ever get.,"[{'term': 'place', 'polarity': 'positive'}]"
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.","[{'term': 'signs', 'polarity': 'positive'}, {'term': 'specials menus', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'waitstaff', 'polarity': 'positive'}]"
This place is worth an one-hour drive.,"[{'term': 'place', 'polarity': 'positive'}]"
"I am so coming back here again, as much as I can.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.","[{'term': 'Leon', 'polarity': 'positive'}, {'term': 'specials', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'French bistro fare', 'polarity': 'positive'}]"
"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.","[{'term': 'staff', 'polarity': 'positive'}]"
Sit outside in the warm weather; inside for cozy winter.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Decent wine at reasonable prices.,"[{'term': 'wine', 'polarity': 'neutral'}]"
Have been dozens of times and never failed to enjoy the experience.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Our teenage kids love it, too.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.","[{'term': 'Zucchero Pomodori', 'polarity': 'positive'}]"
This is by far my favorite place in the neighborhood.,"[{'term': 'place', 'polarity': 'positive'}]"
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.","[{'term': 'service', 'polarity': 'positive'}, {'term': 'decor', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'portions', 'polarity': 'positive'}]"
"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
I'm partial to the Gnocchi.,"[{'term': 'Gnocchi', 'polarity': 'positive'}]"
This place is incredibly tiny.,"[{'term': 'place', 'polarity': 'negative'}]"
They refuse to seat parties of 3 or more on weekends.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The hostess is rude to the point of being offensive.,"[{'term': 'hostess', 'polarity': 'negative'}]"
The food was bland oily.,"[{'term': 'food', 'polarity': 'negative'}]"
I just don't understand all the hype...,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
We went to Ino for Valentines.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"We have been to this place many times, and always have great food, wine, and service.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'wine', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"We were worried we would have trouble getting in, but somehow managed to have a short wait.","[{'term': 'wait', 'polarity': 'positive'}]"
As always we had a great glass of wine while we waited.,"[{'term': 'glass of wine', 'polarity': 'positive'}]"
"When we sat, we got great and fast service.","[{'term': 'service', 'polarity': 'positive'}]"
The people that work there are always so friendly you forget you are in New York sometimes.,"[{'term': 'people', 'polarity': 'positive'}]"
Make sure you try this place as often as you can.,"[{'term': 'place', 'polarity': 'positive'}]"
This is a fun restaurant to go to.,"[{'term': 'restaurant', 'polarity': 'positive'}]"
The pizza is yummy and I like the atmoshpere.,"[{'term': 'pizza', 'polarity': 'positive'}, {'term': 'atmoshpere', 'polarity': 'positive'}]"
But the pizza is way to expensive.,"[{'term': 'pizza', 'polarity': 'negative'}]"
"A large is $20, and toppings are about $3 each.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
I went there for lunch and it was not as good as I expected from the reviews I read.,"[{'term': 'lunch', 'polarity': 'negative'}]"
Sauce was watery and the food didn't have much flavor.,"[{'term': 'Sauce', 'polarity': 'negative'}, {'term': 'food', 'polarity': 'negative'}]"
"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
I don't think I would go again.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
This place is great.,"[{'term': 'place', 'polarity': 'positive'}]"
I had a huge group for my birthday and we were well taken care of.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The waitress was very patient with us and the food is phenomenal!,"[{'term': 'waitress', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
"Service was prompt, friendly and great.","[{'term': 'Service', 'polarity': 'positive'}]"
Slightly on the pricey side but worth it!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Great pizza and fantastic service.,"[{'term': 'pizza', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"There was a small wait, but shorter than I expected.","[{'term': 'wait', 'polarity': 'positive'}]"
Located at the end of a magnificent block.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Very cozy and warm inside.....,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I will be back!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
This is the best sushi in new york city - hands down.,"[{'term': 'sushi', 'polarity': 'positive'}]"
The place is small and cramped but the food is fantastic.,"[{'term': 'place', 'polarity': 'negative'}, {'term': 'food', 'polarity': 'positive'}]"
Get the tuna of gari.,"[{'term': 'tuna of gari', 'polarity': 'positive'}]"
The one on the east side is much better than the one on the west side.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .","[{'term': 'sushi', 'polarity': 'positive'}, {'term': 'thai food', 'polarity': 'positive'}, {'term': 'Planet Thailand', 'polarity': 'positive'}]"
"With the great variety on the menu , I eat here often and never get bored .","[{'term': 'menu', 'polarity': 'positive'}]"
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .","[{'term': 'atmosphere', 'polarity': 'negative'}]"
It's all about the food !!,"[{'term': 'food', 'polarity': 'positive'}]"
I went there with my friend last saturday.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
first it took us a long time to find the place.,"[{'term': 'place', 'polarity': 'negative'}]"
"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.","[{'term': 'menu', 'polarity': 'negative'}]"
then we ordered a dinosaur rolls and white tuna sashimi.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"those rolls were big, but not good and sashimi wasn't fresh.","[{'term': 'rolls', 'polarity': 'neutral'}, {'term': 'sashimi', 'polarity': 'negative'}]"
"they were dry and disgusting, i didn't even finish my first piece.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Try the crunchy tuna, it is to die for.","[{'term': 'crunchy tuna', 'polarity': 'positive'}]"
"Try everything for that matter, it is all good.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
I have been going there since it opened and I can't get enough.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
First went here to enjoy their garden terrace.,"[{'term': 'garden terrace', 'polarity': 'positive'}]"
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"The Steak Tartare is a great bet, they fix it for you at the table.","[{'term': 'Steak Tartare', 'polarity': 'positive'}]"
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.","[{'term': 'open kitchen', 'polarity': 'positive'}, {'term': 'restaurant', 'polarity': 'negative'}]"
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.","[{'term': 'wine selection', 'polarity': 'positive'}, {'term': 'Gigondas', 'polarity': 'positive'}, {'term': 'house champagne', 'polarity': 'positive'}]"
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","[{'term': 'vibe', 'polarity': 'positive'}, {'term': 'French food', 'polarity': 'positive'}]"
"Have recommended the place to friends, always gets good response.","[{'term': 'place', 'polarity': 'positive'}]"
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!","[{'term': 'crust', 'polarity': 'positive'}, {'term': 'pizza', 'polarity': 'positive'}]"
Veal Parmigana - Better than Patsy's!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Much more reasonably priced too!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I take all my NYC guests to VT's.,"[{'term': ""VT's"", 'polarity': 'positive'}]"
"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!","[{'term': 'neighborhood', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
I've been there three times and have always had wonderful experiences.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,"[{'term': 'setting', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,"[{'term': 'Mizu', 'polarity': 'positive'}]"
Even after they overcharged me the last time I was there.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Make sure you have the Spicy Scallop roll.. .,"[{'term': 'Spicy Scallop roll', 'polarity': 'positive'}]"
it's delicious!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Moules were excellent, lobster ravioli was VERY salty!","[{'term': 'Moules', 'polarity': 'positive'}, {'term': 'lobster ravioli', 'polarity': 'negative'}]"
"Took my mom for Mother's Day, and the maitre d' was pretty rude.","[{'term': ""maitre d'"", 'polarity': 'negative'}]"
"Told us to sit anywhere, and when we sat he said the table was reserved.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Stepped on my foot on the SECOND time he reached over me to adjust lighting.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Tiny dessert was $8.00...just plain overpriced for what it is.,"[{'term': 'dessert', 'polarity': 'negative'}]"
The drinks are always welll made and wine selection is fairly priced.,"[{'term': 'drinks', 'polarity': 'positive'}, {'term': 'wine selection', 'polarity': 'positive'}]"
Try their chef's specials-- they are to die for.,"[{'term': ""chef's specials"", 'polarity': 'positive'}]"
"Service is not exactly five star, but thats not really a big deal.","[{'term': 'Service', 'polarity': 'neutral'}]"
Downstairs lounge is always a good attraction,"[{'term': 'Downstairs lounge', 'polarity': 'positive'}]"
"Raga's is a romantic, cozy restaurant.","[{'term': ""Raga's"", 'polarity': 'positive'}]"
The exotic food is beautifully presented and is a delight in delicious combinations.,"[{'term': 'exotic food', 'polarity': 'positive'}]"
It is also extremely well priced.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The staff is incredibly helpful and attentive.,"[{'term': 'staff', 'polarity': 'positive'}]"
The bar is very well stocked with interesting beers and well priced wines.,"[{'term': 'bar', 'polarity': 'positive'}, {'term': 'beers', 'polarity': 'positive'}, {'term': 'wines', 'polarity': 'positive'}]"
This is one of my favorite restaurants and it is not to be missed.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Your friends will thank you for introducing them to this gem!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.","[{'term': 'Leon', 'polarity': 'negative'}]"
"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...","[{'term': 'waitress', 'polarity': 'negative'}]"
"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. ","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Such a disappointment...,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one","[{'term': 'service', 'polarity': 'negative'}, {'term': 'food', 'polarity': 'neutral'}]"
I had a grat time at Jekyll and Hyde!,"[{'term': 'Jekyll and Hyde', 'polarity': 'positive'}]"
I loved everythig about it-especially the shows and actors.,"[{'term': 'shows', 'polarity': 'positive'}, {'term': 'actors', 'polarity': 'positive'}]"
Our server was very helpful and friendly.,"[{'term': 'server', 'polarity': 'positive'}]"
I am bringing my whole family back next time.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The food was good too.,"[{'term': 'food', 'polarity': 'positive'}]"
The tuna and wasabe potatoes are excellent.,"[{'term': 'tuna', 'polarity': 'positive'}, {'term': 'wasabe potatoes', 'polarity': 'positive'}]"
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,"[{'term': 'outdoor atmosphere', 'polarity': 'positive'}]"
"Inside is a little cramped, but to be expected.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Service was prompt and courteous.,"[{'term': 'Service', 'polarity': 'positive'}]"
This was a repeat visit and we'll definitely be back again.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Great service, great food.","[{'term': 'service', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
Prices are in line.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Compared to other shabu restaurants around town, this places wins hands-down.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
But too far east!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I live a block away and go to Patsy's frequently.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","[{'term': 'pizza', 'polarity': 'positive'}, {'term': 'fresh mozzarella', 'polarity': 'positive'}]"
"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.","[{'term': 'appetizer selection', 'polarity': 'negative'}]"
"Also, because it is so thin, it gets cold very quickly and its not that filling.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
So eat fast and order a lot.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,"[{'term': 'Wait staff', 'polarity': 'negative'}, {'term': 'pie', 'polarity': 'positive'}]"
By far the best salad I have had in a fast food restaurant.,"[{'term': 'salad', 'polarity': 'positive'}]"
fine dining restaurant quality.,"[{'term': 'dining', 'polarity': 'positive'}]"
Over 100 different choices to create your own.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
A must try!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.","[{'term': 'restaurant', 'polarity': 'positive'}]"
"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.","[{'term': 'chicken pot pie', 'polarity': 'positive'}, {'term': 'cheeseburger', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"With so many poor experiences to be had in the theater district, is truly an excellent find!","[{'term': 'noaspectterm', 'polarity': 'none'}]"
